+00,+00,-008.033923601846087

-03,-03,+007.914228381681729
-03,-02,+001.448849376745058
-03,-01,-005.522539358193990
-03,+00,-003.602275578020675
-03,+01,-002.460316791225423
-03,+02,-005.221003808733849
-03,+03,-001.034363662671696
-02,-03,+002.269779838306305
-02,-02,+008.680664926405294
-02,-01,+004.457268266192575
-02,+00,+002.840426027858130
-02,+01,+003.028450465961811
-02,+02,-007.249872350306475
-02,+03,+004.005015851502401
-01,-03,-001.228704543671103
-01,-02,+004.015245935053688
-01,-01,-004.392135466120333
-01,+00,+001.031401460495077
-01,+01,-003.024915718282918
-01,+02,+001.426799265135278
-01,+03,-003.497006968646744
+00,-03,-007.932651308321579
+00,-02,+004.668696044995088
+00,-01,-005.927871701984215
+00,+00,-000.964433406349020
+00,+01,-002.280517697608516
+00,+02,-008.972276999406244
+00,+03,-001.635639718418798
+01,-03,-007.948691733506733
+01,-02,-003.397741557147098
+01,-01,-001.579454867412844
+01,+00,+000.600500529274619
+01,+01,+006.904733234352924
+01,+02,-002.169867112753281
+01,+03,+005.363511910182938
+02,-03,-004.161628968232154
+02,-02,+006.425670145061210
+02,-01,+004.161433160077628
+02,+00,-006.734148405243563
+02,+01,-004.580860864433108
+02,+02,-000.440471421680463
+02,+03,+006.463499064222468
+03,-03,+003.768907705393380
+03,-02,-000.833838856916393
+03,-01,-007.150165088427449
+03,+00,-002.792634451507318
+03,+01,+004.279350131144248
+03,+02,+000.110291933399751
+03,+03,-008.217854929889125

-03,-03,+000.234728425394937
-03,-02,+007.293572785035670
-03,-01,+004.583127097565564
-03,+00,+000.364589438620394
-03,+01,-003.815690046106164
-03,+02,+001.133171131910259
-03,+03,+004.202848875056647
-02,-03,-005.247763013426307
-02,-02,+003.979320608964083
-02,-01,+000.042246543441394
-02,+00,+008.317670276857438
-02,+01,+003.513045721824669
-02,+02,+002.030127124040084
-02,+03,-003.294406840548915
-01,-03,-007.618937276482516
-01,-02,-003.334493883632412
-01,-01,-007.655859571233535
-01,+00,-000.276813814264525
-01,+01,+003.851405047292629
-01,+02,-005.596120056458591
-01,+03,-004.272628072344392
+00,-03,-004.003470612932292
+00,-02,+005.665047899307805
+00,-01,-004.877570114274423
+00,+00,-008.611902368929961
+00,+01,+003.974206284221921
+00,+02,+003.110104284944091
+00,+03,-007.343852457635257
+01,-03,-005.715642964224124
+01,-02,+008.351682764031551
+01,-01,-004.839530966994095
+01,+00,-005.735434917845209
+01,+01,+008.130739884912947
+01,+02,-003.403618169025827
+01,+03,+007.657266695663262
+02,-03,-000.061749346091416
+02,-02,-005.058857196859869
+02,-01,-005.133989126922698
+02,+00,-005.458468137139151
+02,+01,-006.407471364479385
+02,+02,+001.340787993483572
+02,+03,-000.342182394474586
+03,-03,-006.306229219564166
+03,-02,+007.447536093707844
+03,-01,-000.849887917935330
+03,+00,-001.253880414496174
+03,+01,-003.184769550945226
+03,+02,-000.977791724866816
+03,+03,+000.416298279121494

+00,-01,-007.589664247882212
+00,+00,-005.387651961568723
+00,+01,-006.872395756145509

+00,-01,+007.551124317202370
+00,+00,+003.261675721665616
+00,+01,+003.875423286944725

+00,-01,-004.648301378173490
+00,+00,-006.579617415938280
+00,+01,+000.489599095977501

-02,-01,+008.326409491895419
-02,+00,+007.109959944016634
-02,+01,-008.219339052258048
-01,-01,-003.933626282982407
-01,+00,+000.330409312174408
-01,+01,+007.364300750911391
+00,-01,-001.486395791688618
+00,+00,+002.685945233602520
+00,+01,+004.861159887088736
+01,-01,-007.218107963314889
+01,+00,-001.919557938985896
+01,+01,+003.337178740543369
+02,-01,+005.230212042749897
+02,+00,-007.907783597440908
+02,+01,-008.686184354689122
