#
-16,-08,-002.696132521967667
-16,-07,-000.539889535202406
-16,-06,-004.676798008533916
-16,-05,+000.132833152759610
-16,-04,+000.881831235091518
-16,-03,-000.491466336136427
-16,-02,+000.254938992492331
-16,-01,+000.625272959897240
-16,+00,-003.608911458597831
-16,+01,+001.415695729301943
-16,+02,-002.792743025377429
-16,+03,-000.446628914700746
-16,+04,+000.574212577521979
-16,+05,+000.562425115736002
-16,+06,-004.207900352183251
-16,+07,+001.488072196551945
-16,+08,+002.885553709567789
-15,-08,+004.084814738615798
-15,-07,-004.075516447762185
-15,-06,+004.811496855431308
-15,-05,-000.330007041027161
-15,-04,+000.331827994245704
-15,-03,-002.073852750923043
-15,-02,-003.970953222583540
-15,-01,+002.578315644323755
-15,+00,-002.816727498683143
-15,+01,+003.416580718252871
-15,+02,+002.463194235495949
-15,+03,+003.444671633920638
-15,+04,-002.657503274573689
-15,+05,+003.345192996083334
-15,+06,+002.928128439353372
-15,+07,-003.040578381358667
-15,+08,+001.901268436940107
-14,-08,-000.389464490279071
-14,-07,-001.745402106387886
-14,-06,+001.470681094278975
-14,-05,+000.635074681976251
-14,-04,+000.582036403077846
-14,-03,+003.012812712785109
-14,-02,-004.057149505054413
-14,-01,+002.768938883969109
-14,+00,-001.153628240189231
-14,+01,-004.288988901618358
-14,+02,+000.532174817419248
-14,+03,-002.269631803963212
-14,+04,-001.138119379815259
-14,+05,+003.498901300767043
-14,+06,-001.199753509877380
-14,+07,-002.206249821414671
-14,+08,+002.479711116993304
-13,-08,+001.836372788503634
-13,-07,-000.323014089460349
-13,-06,-000.907461392203244
-13,-05,-003.903488883206392
-13,-04,+002.461511758122512
-13,-03,-002.354134477330925
-13,-02,-002.673218032162642
-13,-01,-000.991993786212107
-13,+00,+001.799618927626980
-13,+01,+003.803250200324267
-13,+02,+003.091785974249887
-13,+03,+001.882536832569790
-13,+04,-000.145901538209937
-13,+05,+002.123661738607404
-13,+06,-003.753703211599270
-13,+07,-003.208852242474784
-13,+08,-001.912018320960560
-12,-08,-002.340588645617424
-12,-07,-002.032146119795830
-12,-06,-000.825814829742004
-12,-05,+001.868300495181369
-12,-04,+001.134612632278299
